condition_id,agent_type,agent_label,task_id,task_type,server,execution_mode,server_load_level,servers,repetition,model_id,temperature,success,error,input_tokens,output_tokens,total_tokens,total_latency_ms,tool_call_count,tool_call_success_count,tool_call_success_rate,tool_selection_correctness,task_success,task_grade,response_length,trace_event_count,completed_at
A1_T1-MCP-1_minimal_r1,mcp,A1,T1-MCP-1,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8941,630,9571,10551.677837007446,1,1,1.0,1.0,True,1.0,1379,4,2026-03-20T01:21:35.992533+00:00
A1_T1-MCP-1_moderate_r1,mcp,A1,T1-MCP-1,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9479,630,10109,10262.413421005476,1,1,1.0,1.0,True,1.0,1379,4,2026-03-20T01:21:54.079773+00:00
A1_T1-MCP-1_maximal_r1,mcp,A1,T1-MCP-1,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9479,603,10082,9922.764962000656,1,1,1.0,1.0,True,1.0,1272,4,2026-03-20T01:22:10.329849+00:00
A3_T1-MCP-1_minimal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10560,1279,11839,18923.308133991668,2,2,1.0,1.0,True,1.0,1382,10,2026-03-20T01:23:58.468462+00:00
A3_T1-MCP-1_moderate_r1,multi_agent_mcp,A3,T1-MCP-1,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10715,1286,12001,18910.449424991384,2,2,1.0,1.0,True,1.0,1379,10,2026-03-20T01:24:24.335426+00:00
A3_T1-MCP-1_maximal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10445,739,11184,12810.854880997796,2,2,1.0,1.0,True,1.0,767,10,2026-03-20T01:25:00.580017+00:00
A1_T1-MCP-2_minimal_r1,mcp,A1,T1-MCP-2,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8706,394,9100,7781.1098779930035,1,1,1.0,1.0,True,1.0,985,4,2026-03-20T01:27:07.583887+00:00
A1_T1-MCP-2_moderate_r1,mcp,A1,T1-MCP-2,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,14448,528,14976,10908.873672000482,2,2,1.0,1.0,True,1.0,1116,7,2026-03-20T01:27:25.886630+00:00
A1_T1-MCP-2_maximal_r1,mcp,A1,T1-MCP-2,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9246,400,9646,7939.670211999328,1,1,1.0,1.0,True,1.0,993,4,2026-03-20T01:27:40.759236+00:00
A3_T1-MCP-2_minimal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10065,731,10796,12873.352506008814,2,2,1.0,1.0,True,1.0,877,10,2026-03-20T01:29:54.729505+00:00
A3_T1-MCP-2_moderate_r1,multi_agent_mcp,A3,T1-MCP-2,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10236,775,11011,14297.573631003615,2,2,1.0,1.0,True,1.0,935,10,2026-03-20T01:30:14.687521+00:00
A3_T1-MCP-2_maximal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10226,768,10994,13340.151755997796,2,2,1.0,1.0,True,1.0,961,10,2026-03-20T01:30:34.066976+00:00
A1_T1-MCP-3_minimal_r1,mcp,A1,T1-MCP-3,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8460,228,8688,5707.142793995445,1,1,1.0,1.0,True,1.0,485,4,2026-03-20T01:33:23.082679+00:00
A1_T1-MCP-3_moderate_r1,mcp,A1,T1-MCP-3,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9002,248,9250,6159.029960006592,1,1,1.0,1.0,True,1.0,527,4,2026-03-20T01:33:35.271071+00:00
A1_T1-MCP-3_maximal_r1,mcp,A1,T1-MCP-3,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8996,215,9211,6272.295669987216,1,1,1.0,1.0,True,1.0,413,4,2026-03-20T01:33:46.817462+00:00
A3_T1-MCP-3_minimal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9667,446,10113,23743.310428006225,2,2,1.0,1.0,True,1.0,416,10,2026-03-20T01:36:24.758047+00:00
A3_T1-MCP-3_moderate_r1,multi_agent_mcp,A3,T1-MCP-3,T1,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9836,480,10316,10325.54771201103,2,2,1.0,1.0,True,1.0,485,10,2026-03-20T01:36:41.170233+00:00
A3_T1-MCP-3_maximal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9839,493,10332,10467.1315470041,2,2,1.0,1.0,True,1.0,539,10,2026-03-20T01:36:58.237256+00:00
A1_T2-MCP-4_minimal_r1,mcp,A1,T2-MCP-4,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,27673,747,28420,18251.433133991668,4,4,1.0,1.0,False,0.7,1405,13,2026-03-20T01:39:27.034172+00:00
A1_T2-MCP-4_moderate_r1,mcp,A1,T2-MCP-4,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29018,744,29762,19540.96371799824,4,4,1.0,1.0,False,0.7,1384,13,2026-03-20T01:39:53.656714+00:00
A1_T2-MCP-4_maximal_r1,mcp,A1,T2-MCP-4,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29021,744,29765,20642.466966994107,4,4,1.0,1.0,False,0.7,1390,13,2026-03-20T01:40:20.074840+00:00
A3_T2-MCP-4_minimal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29136,1165,30301,23508.10092801112,5,5,1.0,1.0,False,0.7,1147,19,2026-03-20T01:43:29.422819+00:00
A3_T2-MCP-4_moderate_r1,multi_agent_mcp,A3,T2-MCP-4,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29318,1270,30588,28155.58334700472,5,5,1.0,1.0,False,0.7,1314,19,2026-03-20T01:44:03.776597+00:00
A3_T2-MCP-4_maximal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29318,1201,30519,24704.66834500257,5,5,1.0,1.0,False,0.7,1125,19,2026-03-20T01:44:35.595921+00:00
A1_T2-MCP-5_minimal_r1,mcp,A1,T2-MCP-5,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19549,752,20301,14778.673173001152,3,3,1.0,1.0,True,1.0,1109,10,2026-03-20T01:47:19.002299+00:00
A1_T2-MCP-5_moderate_r1,mcp,A1,T2-MCP-5,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20590,783,21373,14713.100338994993,3,3,1.0,1.0,True,1.0,1358,10,2026-03-20T01:47:39.132515+00:00
A1_T2-MCP-5_maximal_r1,mcp,A1,T2-MCP-5,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21805,818,22623,15886.426424011006,3,3,1.0,1.0,True,1.0,1367,10,2026-03-20T01:48:01.176076+00:00
A3_T2-MCP-5_minimal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21003,1282,22285,23282.16701000929,4,4,1.0,1.0,True,1.0,1277,16,2026-03-20T01:50:40.112140+00:00
A3_T2-MCP-5_moderate_r1,multi_agent_mcp,A3,T2-MCP-5,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,22394,1332,23726,25562.92913699872,4,4,1.0,1.0,True,1.0,1285,16,2026-03-20T01:51:11.949315+00:00
A3_T2-MCP-5_maximal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21782,1254,23036,23180.282553003053,4,4,1.0,1.0,True,1.0,1143,16,2026-03-20T01:51:41.636083+00:00
A1_T2-MCP-6_minimal_r1,mcp,A1,T2-MCP-6,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19281,689,19970,12801.483381990693,3,3,1.0,1.0,True,1.0,1029,10,2026-03-20T01:54:30.119447+00:00
A1_T2-MCP-6_moderate_r1,mcp,A1,T2-MCP-6,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20345,685,21030,12873.379797005327,3,3,1.0,1.0,True,1.0,1029,10,2026-03-20T01:54:48.443170+00:00
A1_T2-MCP-6_maximal_r1,mcp,A1,T2-MCP-6,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20339,704,21043,14989.907548006158,3,3,1.0,1.0,True,1.0,1159,10,2026-03-20T01:55:08.625406+00:00
A3_T2-MCP-6_minimal_r1,multi_agent_mcp,A3,T2-MCP-6,T2,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20752,1183,21935,19702.62305099459,4,4,1.0,1.0,True,1.0,1106,16,2026-03-20T01:57:48.042346+00:00
A3_T2-MCP-6_moderate_r1,multi_agent_mcp,A3,T2-MCP-6,T2,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20892,1177,22069,19070.80046700139,4,4,1.0,1.0,True,1.0,1109,16,2026-03-20T01:58:12.538386+00:00
A3_T2-MCP-6_maximal_r1,multi_agent_mcp,A3,T2-MCP-6,T2,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20891,1175,22066,20836.93067599961,4,4,1.0,1.0,True,1.0,1095,16,2026-03-20T01:58:38.725851+00:00
A1_T3-MCP-7_minimal_r1,mcp,A1,T3-MCP-7,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8643,340,8983,6416.069462007727,1,1,1.0,1.0,True,1.0,618,4,2026-03-20T02:01:26.490924+00:00
A1_T3-MCP-7_moderate_r1,mcp,A1,T3-MCP-7,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9176,354,9530,6856.7101689986885,1,1,1.0,1.0,True,1.0,682,4,2026-03-20T02:01:38.549395+00:00
A1_T3-MCP-7_maximal_r1,mcp,A1,T3-MCP-7,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9176,354,9530,29876.57380501332,1,1,1.0,1.0,True,1.0,682,4,2026-03-20T02:02:13.209043+00:00
A3_T3-MCP-7_minimal_r1,multi_agent_mcp,A3,T3-MCP-7,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10005,739,10744,12827.243338004337,2,2,1.0,1.0,True,1.0,706,10,2026-03-20T02:04:09.303280+00:00
A3_T3-MCP-7_moderate_r1,multi_agent_mcp,A3,T3-MCP-7,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10122,680,10802,12246.934131006128,2,2,1.0,1.0,True,1.0,603,10,2026-03-20T02:04:26.797838+00:00
A3_T3-MCP-7_maximal_r1,multi_agent_mcp,A3,T3-MCP-7,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10146,719,10865,11946.378545995683,2,2,1.0,1.0,True,1.0,686,10,2026-03-20T02:04:43.676370+00:00
A1_T3-MCP-8_minimal_r1,mcp,A1,T3-MCP-8,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8550,260,8810,6811.996337011806,1,1,1.0,1.0,True,1.0,698,4,2026-03-20T02:06:25.543912+00:00
A1_T3-MCP-8_moderate_r1,mcp,A1,T3-MCP-8,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19659,540,20199,12829.795714002104,3,3,1.0,1.0,True,1.0,998,10,2026-03-20T02:06:43.523985+00:00
A1_T3-MCP-8_maximal_r1,mcp,A1,T3-MCP-8,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20521,570,21091,14050.660339009482,3,3,1.0,1.0,True,1.0,1221,10,2026-03-20T02:07:03.224042+00:00
A3_T3-MCP-8_minimal_r1,multi_agent_mcp,A3,T3-MCP-8,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9837,571,10408,12704.49246399221,2,2,1.0,1.0,True,1.0,813,10,2026-03-20T02:10:06.461878+00:00
A3_T3-MCP-8_moderate_r1,multi_agent_mcp,A3,T3-MCP-8,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9997,595,10592,13304.63383901224,2,2,1.0,1.0,True,1.0,867,10,2026-03-20T02:10:25.790701+00:00
A3_T3-MCP-8_maximal_r1,multi_agent_mcp,A3,T3-MCP-8,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9990,536,10526,12027.38521399442,2,2,1.0,1.0,True,1.0,578,10,2026-03-20T02:10:44.204534+00:00
A1_T3-MCP-9_minimal_r1,mcp,A1,T3-MCP-9,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,14384,374,14758,9835.914712995873,2,2,1.0,0.0,True,0.9,833,7,2026-03-20T02:14:43.674318+00:00
A1_T3-MCP-9_moderate_r1,mcp,A1,T3-MCP-9,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15191,360,15551,9691.93667100626,2,2,1.0,0.0,True,0.9,764,7,2026-03-20T02:14:59.632183+00:00
A1_T3-MCP-9_maximal_r1,mcp,A1,T3-MCP-9,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15190,355,15545,9577.351129992168,2,2,1.0,0.0,False,0.5,776,7,2026-03-20T02:15:14.952304+00:00
A3_T3-MCP-9_minimal_r1,multi_agent_mcp,A3,T3-MCP-9,T3,lastfm,MCP,minimal,lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15597,564,16161,12700.630755003658,3,3,1.0,0.0,False,0.5,585,13,2026-03-20T02:17:08.583085+00:00
A3_T3-MCP-9_moderate_r1,multi_agent_mcp,A3,T3-MCP-9,T3,lastfm,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15743,550,16293,12652.49696400133,3,3,1.0,0.0,True,0.9,498,13,2026-03-20T02:17:27.425845+00:00
A3_T3-MCP-9_maximal_r1,multi_agent_mcp,A3,T3-MCP-9,T3,lastfm,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15731,535,16266,12843.871381002828,3,3,1.0,0.0,False,0.5,496,13,2026-03-20T02:17:45.834592+00:00
A1_T1-MCP-1_minimal_r1,mcp,A1,T1-MCP-1,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,1518,177,1695,4160.755377000896,1,1,1.0,1.0,True,1.0,386,4,2026-03-20T02:20:55.241909+00:00
A1_T1-MCP-1_moderate_r1,mcp,A1,T1-MCP-1,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8996,197,9193,5165.288502001204,1,1,1.0,1.0,True,1.0,488,4,2026-03-20T02:21:09.472635+00:00
A1_T1-MCP-1_maximal_r1,mcp,A1,T1-MCP-1,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8996,196,9192,5216.138169009355,1,1,1.0,1.0,True,1.0,500,4,2026-03-20T02:21:23.954317+00:00
A3_T1-MCP-1_minimal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,2688,398,3086,9028.108711005189,2,2,1.0,1.0,True,1.0,391,10,2026-03-20T02:22:43.735160+00:00
A3_T1-MCP-1_moderate_r1,multi_agent_mcp,A3,T1-MCP-1,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,2871,427,3298,9222.947379996183,2,2,1.0,1.0,True,1.0,417,10,2026-03-20T02:23:28.893189+00:00
A3_T1-MCP-1_maximal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,2858,421,3279,9471.299713011833,2,2,1.0,1.0,True,1.0,442,10,2026-03-20T02:23:47.844208+00:00
A1_T1-MCP-2_minimal_r1,mcp,A1,T1-MCP-2,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,2490,493,2983,7824.193754000589,1,1,1.0,1.0,True,1.0,1357,4,2026-03-20T02:25:20.967284+00:00
A1_T1-MCP-2_moderate_r1,mcp,A1,T1-MCP-2,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9970,521,10491,9496.20987799426,1,1,1.0,1.0,True,1.0,1377,4,2026-03-20T02:25:40.370995+00:00
A1_T1-MCP-2_maximal_r1,mcp,A1,T1-MCP-2,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9970,521,10491,11753.154546997392,1,1,1.0,1.0,True,1.0,1377,4,2026-03-20T02:26:01.426420+00:00
A3_T1-MCP-2_minimal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4011,1067,5078,20009.409133999725,2,2,1.0,1.0,True,1.0,1430,10,2026-03-20T02:27:59.277454+00:00
A3_T1-MCP-2_moderate_r1,multi_agent_mcp,A3,T1-MCP-2,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4168,1062,5230,16092.664883006364,2,2,1.0,1.0,True,1.0,1383,10,2026-03-20T02:28:21.632789+00:00
A3_T1-MCP-2_maximal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4190,1105,5295,15727.705173994764,2,2,1.0,1.0,True,1.0,1596,10,2026-03-20T02:28:43.343100+00:00
A1_T1-MCP-3_minimal_r1,mcp,A1,T1-MCP-3,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8095,429,8524,25840.69305298908,4,4,1.0,1.0,True,1.0,119,13,2026-03-20T02:31:54.295517+00:00
A1_T1-MCP-3_moderate_r1,mcp,A1,T1-MCP-3,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,33217,619,33836,36174.41414100176,5,5,1.0,1.0,True,1.0,258,16,2026-03-20T02:32:39.767285+00:00
